Date,Value,Anomaly
200101,31.37,1.25
200102,33.96,0.14
200103,41.47,-0.03
200104,53.08,2.04
200105,62.80,2.61
200106,69.21,0.74
200107,74.44,0.85
200108,74.28,2.20
200109,65.68,0.84
200110,54.36,0.26
200111,47.39,5.70
200112,36.12,3.44
200201,34.48,4.36
200202,36.39,2.57
200203,39.54,-1.96
200204,53.49,2.45
200205,59.27,-0.92
200206,70.84,2.37
200207,75.83,2.24
200208,72.82,0.74
200209,66.83,1.99
200210,51.82,-2.28
200211,41.95,0.26
200212,35.08,2.40
200301,32.81,2.69
200302,32.79,-1.03
200303,43.29,1.79
200304,51.89,0.85
200305,60.96,0.77
200306,68.02,-0.45
200307,75.43,1.84
200308,74.62,2.54
200309,64.94,0.10
200310,56.53,2.43
200311,42.35,0.66
200312,35.29,2.61
200401,30.36,0.24
200402,33.57,-0.25
200403,47.39,5.89
200404,52.66,1.62
200405,61.90,1.71
200406,68.05,-0.42
200407,72.88,-0.71
200408,70.14,-1.94
200409,65.64,0.80
200410,55.35,1.25
200411,43.99,2.30
200412,35.06,2.38
200501,33.39,3.27
200502,37.94,4.12
200503,42.31,0.81
200504,52.25,1.21
200505,59.54,-0.65
200506,69.19,0.72
200507,75.29,1.70
200508,73.18,1.10
200509,67.35,2.51
200510,55.36,1.26
200511,45.00,3.31
200512,32.70,0.02
200601,38.93,8.81
200602,34.83,1.01
200603,42.60,1.10
200604,55.24,4.20
200605,62.26,2.07
200606,70.74,2.27
200607,76.39,2.80
200608,73.38,1.30
200609,63.28,-1.56
200610,52.57,-1.53
200611,44.08,2.39
200612,36.57,3.89
200701,31.35,1.23
200702,32.41,-1.41
200703,47.64,6.14
200704,50.54,-0.50
200705,62.31,2.12
200706,69.85,1.38
200707,74.68,1.09
200708,74.62,2.54
200709,66.42,1.58
200710,56.66,2.56
200711,43.99,2.30
200712,33.22,0.54
200801,30.27,0.15
200802,34.70,0.88
200803,41.86,0.36
200804,50.38,-0.66
200805,59.34,-0.85
200806,69.58,1.11
200807,74.05,0.46
200808,72.25,0.17
200809,65.19,0.35
200810,53.98,-0.12
200811,43.92,2.23
200812,31.87,-0.81
200901,31.05,0.93
200902,36.77,2.95
200903,42.87,1.37
200904,50.90,-0.14
200905,61.63,1.44
200906,68.50,0.03
200907,72.61,-0.98
200908,71.87,-0.21
200909,66.36,1.52
200910,50.49,-3.61
200911,45.82,4.13
200912,29.64,-3.04
201001,30.67,0.55
201002,31.80,-2.02
201003,43.56,2.06
201004,53.24,2.20
201005,59.86,-0.33
201006,70.47,2.00
201007,74.70,1.11
201008,74.03,1.95
201009,66.47,1.63
201010,56.14,2.04
201011,42.31,0.62
201012,32.47,-0.21
201101,29.71,-0.41
201102,33.04,-0.78
201103,43.07,1.57
201104,51.96,0.92
201105,59.11,-1.08
201106,69.80,1.33
201107,76.12,2.53
201108,74.98,2.90
201109,66.07,1.23
201110,55.08,0.98
201111,43.74,2.05
201112,35.40,2.72
201201,36.12,6.00
201202,37.51,3.69
201203,50.40,8.90
201204,54.68,3.64
201205,63.43,3.24
201206,70.52,2.05
201207,76.73,3.14
201208,73.78,1.70
201209,66.29,1.45
201210,53.89,-0.21
201211,44.01,2.32
201212,35.92,3.24
201301,32.25,2.13
201302,34.77,0.95
201303,40.89,-0.61
201304,49.66,-1.38
201305,60.84,0.65
201306,70.38,1.91
201307,74.19,0.60
201308,72.97,0.89
201309,66.94,2.10
